Number,Name,y,x,District,Public,Total docks
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15
W32007,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,Watertown,Yes,12
N32002,Nonantum Library,42.36068456,-71.201462,Newton,Yes,15
C32078,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,Boston,Yes,0
B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,Yes,0
D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,15
B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,Yes,15
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,Cambridge,Yes,23
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,Yes,19
M32053,One Memorial Drive,42.36161932,-71.08043551,Cambridge,Yes,19
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19
S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27
A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15
D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Boston,Yes,19
C32039,Park St at Norwell St,42.29442579,-71.07821761,Boston,Yes,0
S32034,Perry Park,42.37927325,-71.10341903,Somerville,Yes,19
M32029,Porter Square Station,42.387995,-71.119084,Cambridge,Yes,19
A32050,Porzio Park,42.36411904,-71.02876782,Boston,Yes,17
D32012,Post Office Square,42.35585436,-71.05459746,Boston,Yes,19
S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,15
C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Boston,Yes,18
A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19
R32006,Revere City Hall,42.40741,-71.0139,Revere,Yes,11
R32007,Revere Public Library,42.408088,-71.008942,Revere,Yes,11
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,Yes,19
C32058,Ring Rd,42.34827839,-71.08044855,Boston,Yes,15
M32035,Rogers St & Land Blvd,42.36575798,-71.07699394,Cambridge,Yes,19
C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15
C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,18
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,0
E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14
C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Boston,Yes,15
B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Boston,Yes,19
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Boston,Yes,19
M32063,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,Cambridge,Yes,19
D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Boston,Yes,15
E32009,Shawmut T Stop,42.292917,-71.06575,Boston,Yes,19
M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,Cambridge,Yes,19
D32032,Silber Way,42.349496,-71.10057592,Boston,Yes,0
M32069,Smith Pl at Wilson Rd,42.39239749,-71.15058332,Cambridge,Yes,19
A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Boston,Yes,15
S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,19
S32036,Somerville City Hall Annex,42.39189812,-71.09745376,Somerville,Yes,19
S32020,Somerville Hospital,42.39044949,-71.1085595,Somerville,Yes,15
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19
C32087,Spring St at Powell St,42.27748444,-71.16341468,Boston,Yes,19
K32007,St Mary's,42.34619708,-71.10728681,Brookline,Yes,15
C32024,State Street at Channel Center,42.344137,-71.052608,Boston,Yes,19
D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,Yes,15
D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Boston,Yes,19
D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18
D32053,Sullivan Square,42.38445226,-71.07514855,Boston,Yes,19
A32013,Surface Rd at India St,42.358155,-71.052163,Boston,Yes,19
A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Boston,Yes,27
V32007,Swan St. Park,42.41250451,-71.05842225,Everett,Yes,15
C32064,Sydney St at Carson St,42.32039374,-71.05355408,Boston,Yes,19
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15
K32008,Tappan St at Brookline Hills MBTA,42.33209606,-71.12845883,Brookline,Yes,15
S32011,Teele Square,42.40231703,-71.12671129,Somerville,Yes,15
E32011,The Dimock Center,42.31930943,-71.09639924,Boston,Yes,16
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15
C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19
D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Boston,Yes,19
C32049,Thetford Ave at Norfolk St,42.28621295,-71.07942931,Boston,Yes,0
M32048,Third at Binney,42.36544486,-71.08277142,Cambridge,Yes,15
L32005,Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963,Arlington,Yes,11
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19
B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Boston,Yes,19
C32056,Tremont St at Northampton St,42.3388956,-71.08149976,Boston,Yes,19
C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Boston,Yes,15
D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15
C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,14
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,Yes,19
S32002,Union Square - Somerville,42.37971603,-71.09391332,Somerville,Yes,19
N32004,Union St at Herrick Rd ? Newton Centre Green Line,42.32956868,-71.19367272,Newton,Yes,11
C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Boston,Yes,19
M32040,University Park,42.36264779,-71.10006094,Cambridge,Yes,19
C32019,Uphams Corner,42.31727474,-71.06537004,Boston,Yes,0
B32025,Uphams Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,Boston,Yes,0
